"Experiment","Run","Correlation","RMSE","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P3",3,0.809997674548357,7.12875098941064,3.70135568599184,-971.798631601694,0.498412913961905,13,NA,"x6","x1","x11",1.8430026993789,1.76059247661082,1.19382908852691
"P4",3,0.815242016112526,7.5456206552065,3.68099919761988,-967.815878520125,0.43803483865016,13,NA,"x10","x1","x11",1.67377534411551,1.64774352069481,1.57703540132092
"P5",3,0.894904548358303,4.49554937678754,2.85604691546314,-965.340886928853,0.800526595062487,11,NA,"x6","x1","x9",1.45718351296203,1.36209849558619,1.29559292696817
"P6",3,0.894718750943408,4.4994037543831,2.85212747130185,-965.340886928853,0.800184400881737,11,NA,"x13","x1","x6*x10",1.33217733706227,1.32832007079347,1.00005479376727
"P1",4,0.809015486312675,7.45282719510179,3.7587279663431,-971.027299375553,0.451771561728285,12,NA,"x1","x6","x12",1.28523327856548,1.04215886993369,1.03910906935561
"P2",4,0.81248710760963,7.61454808435361,3.69035579138689,-967.175540208063,0.427721113054239,14,NA,"x10","x6","x1",2.27280730612109,1.85532048153812,1.2126554939677
"P3",4,0.815751043240946,7.49929229693414,3.63707957552983,-959.734151744379,0.444914325527759,12,NA,"x12","x9","x8",1.62567928619322,1.49940048808264,1.11410268284817
"P4",4,0.838802887551211,6.27276071513216,3.34534375645562,-964.123757479143,0.611637848187607,16,NA,"x13","x1","x6",1.71189005872068,1.43574624992195,1.35284166952846
"P5",4,0.805664178615812,7.39266746377964,3.6507028237662,-970.788631546961,0.46058651506952,15,NA,"x1","x13","x12",1.70632779625512,1.16571969772162,1.03126187293862
"P6",4,0.806032637181077,7.23977456088451,3.75894976489034,-975.859927751821,0.482667762046085,9,NA,"x5","x8","x11",1.00004156679129,1.00000096453017,0.999999999944942
"P1",5,0.900191175440187,4.3915768029054,2.811324180643,-964.427735109084,0.809646695021881,16,NA,"x6","x10","x11",1.54916019731153,1.21805325367399,1.00001690516292
"P2",5,0.895084581464009,4.49525346314384,2.78587098627346,-975.492263217478,0.800552854348925,9,NA,"x1","x11","x9",1.2472044880108,1.24440857333701,0.9965294197063
"P3",5,0.872078035402486,5.07514473464188,3.01424378925579,-971.541428299276,0.74577613268769,16,NA,"x5","x12","x1",1.29415372439773,1.23993683606133,1.19524564677584
"P4",5,0.901286298924327,4.3678491692415,2.74384254082931,-969.548744076033,0.811698091152576,14,NA,"x11","x12","x1",2.1354273152669,1.56760777638174,1.00142754762767
"P5",5,0.883709044344184,4.85139829405275,2.9800811521227,-965.889422763684,0.767697801964707,16,NA,"x8","x13","x1",1.56221712036306,1.36575664134876,1.25471221866482
"P6",5,0.811933664772021,7.17592681597846,3.61973035971099,-978.805735646604,0.491752257181609,23,NA,"x12","x1","x8",1.18986643808468,1.04158751080951,1.02581574179216
"P1",6,0.89951387904294,4.40108842460207,2.76237631527771,-959.372822445084,0.808821237814677,13,NA,"x11","x5","x8",2.16729424216234,1.30771777246787,1.00126635284364
"P2",6,0.866479476498341,5.32445454399841,3.1057478939926,-968.462137395551,0.720185829659485,12,NA,"x9","x1","x11",1.52534958316667,1.08399653237773,1.00396448345576
"P3",6,0.873206930427698,5.07455135971708,3.00016088172655,-969.200189364652,0.745835575819859,12,NA,"x11","x8","x9",1.64590469546395,1.55055536767967,1.4035290314256
"P4",6,0.833714353995022,6.66742456221141,3.40779070446023,-964.45191256021,0.561231260753724,13,NA,"x12","x1","x11",2.15313103546087,1.81634959360141,1.01411100081923
"P5",6,0.85826108130525,5.67078194525488,3.14180500281643,-976.955185110084,0.682601147179713,17,NA,"x9","x10","x5",1.57857778186511,1.40999735420154,1.2976979948672
"P6",6,0.819274311002184,6.90686434726184,3.57185637633521,-964.910959380276,0.529151371595604,10,NA,"x1","x11","x10",1.46902653726273,1.00000004125215,0.999999961620129
"P1",7,0.875366840600436,5.0161354650911,2.95686946120151,-971.032164286638,0.751653542324512,15,NA,"x11","x1","x8",1.5957171505815,1.55967303966797,1.39439248727023
"P2",7,0.889565075610967,4.60142405535754,2.93931456927323,-969.534873635678,0.791020361334905,9,NA,"x10","x9","x11",1.33323864513961,0.999983553530726,0.999867582238631
"P3",7,0.822264425354182,6.99326171269887,3.65915003973425,-973.201542811914,0.517298087455818,13,NA,"x1","x6","x8",1.56352957652611,1.40865084622981,1.23362235094445
"P4",7,0.885762622752234,4.67935543763667,2.96121640376005,-975.862262320392,0.783881708032803,7,NA,"x1","x9","p3(x6)",0.998937083751761,0.9989360102812,0.991979805506579
"P5",7,0.885632104880225,4.77974264750464,2.95667062333953,-973.314399663868,0.774509378082624,12,NA,"x5","x13","x8",1.91126063884032,1.64255170996192,1.61447428030153
"P6",7,0.74480151895115,10.2079927482872,4.20272917900922,-981.403780037655,-0.0284902109995806,13,NA,"x6","x8","x13",1.27372182486305,1.05049705180132,1.00031124791055
"P1",8,0.862121650794211,5.38663377280141,3.16380118747774,-974.688672533781,0.713612303609767,19,NA,"x10","x9","x6",1.26627386755359,1.25220868833697,1.11613420991309
"P2",8,0.850641341238136,5.90637231490933,3.327590025497,-969.633501860877,0.655680914426054,17,NA,"x6","x13","x12",2.04185693280308,1.34453658309032,1.2796615317997
"P3",8,0.89435643091068,4.50649762593797,2.87875988793654,-965.889422763684,0.799553835732033,10,NA,"x10","x1","x9",1.85547255894852,1.68326207418822,1.57622036602484
"P4",8,0.894915181669329,4.49536329210478,2.85383637983058,-965.340886928853,0.800543108362167,11,NA,"x8","x12","x5",1.79875279073229,1.68122263417306,1.67151922976167
"P5",8,0.834301173543577,6.64296132056086,3.4722977548993,-967.52757667594,0.564445099693422,14,NA,"x8","x7","x5",1.75478701336129,1.49538476627613,1.44298284394095
"P6",8,0.835135675246319,6.49864493946003,3.34019560426753,-963.853884371717,0.583164138201492,15,NA,"x6","x1","x10",1.52717295199723,1.00258631068947,0.999999999890158
"P1",9,0.857773091291863,5.62657311067719,3.19303813776577,-967.591616740103,0.687530674764196,17,NA,"x12","x9","x13",1.79343243126451,1.24176168434602,1.18334202751037
"P2",9,0.895319767583716,4.48685313231437,2.83421292074241,-965.340886928853,0.801297576122765,11,NA,"x6","x13","x12",1.8445080480383,1.70949086640419,1.3796069216106
"P3",9,0.877451857324295,4.95958793425744,2.93104402474514,-970.849321248008,0.757221263800346,16,NA,"x11","x9","x12",1.4130666999848,1.25465167687536,1.19363587991644
"P4",9,0.884419193806063,4.71266169727208,2.96706325856523,-973.941394389014,0.780794227725395,10,NA,"x11","x8","x9",1.8427663601571,1.52241961291135,1.49745584238649
"P5",9,0.886630692498353,4.73136635391464,2.82149511133727,-973.673660780979,0.779050709604344,17,NA,"x8","x1","x9",1.55077045239681,1.47204692676542,1.12063041811282
"P6",9,0.813442789439313,7.27815752508596,3.6596570219958,-971.673558643127,0.477167761555652,11,NA,"x7","x8","x11",1.26730288905857,1.1200778736422,1.00000898394433
"P1",10,0.894895330176034,4.49570998258582,2.85998181095941,-965.340886928853,0.80051234222929,11,NA,"x6","x9","x5",3.07516824288429,1.97530641251175,1.59985277783262
"P2",10,0.89769550724109,4.44152297754737,2.69255610572209,-966.962984222984,0.805292229817684,14,NA,"x8","x12","x11",1.95072103814573,1.9342589871211,1.29857052917601
"P3",10,0.830773999802625,6.77740256170668,3.51956284313332,-965.657014838634,0.546637053993494,13,NA,"x11","x10","x9",1.84594855604141,1.30780254666592,1.30751211734064
"P4",10,0.837352340564437,6.56791783336364,3.42059467351096,-963.60505068379,0.57423017525668,14,NA,"x9","x8","x10",1.77025491437455,1.62349409755529,1.44885030894835
"P5",10,0.824822211054677,6.60870106738945,3.56702075380909,-970.142048072579,0.568926155860796,11,NA,"x1","x13","x8",1.28754177134348,1.20820373277596,1.1358326396234
"P6",10,0.894854959870741,4.49657998152953,2.85238344431348,-965.340886928853,0.800435126018682,11,NA,"x1","x11","x12",1.46079624474964,1.42767843666835,1.30710672568727
"P1",11,0.883381876465689,4.82801204012003,2.92320230244845,-972.432150988107,0.769932037828988,16,NA,"x10","x6","x9",2.0634551798736,1.85044678281469,1.70358159556231
"P2",11,0.813777482148302,6.77101878891929,3.7061919733722,-971.438109521589,0.547490715252176,10,NA,"x1","x11","x10",1.4344494793493,1.00013662802866,0.999981963450657
"P3",11,0.827544496180755,6.94772287701202,3.48702096256035,-964.981873297932,0.523564151458564,13,NA,"x8","x12","x1",1.76185761849609,1.54296875928177,0.999999996070902
"P4",11,0.877435815039692,4.96437540413393,2.90173057454078,-968.630986876747,0.756752330944896,13,NA,"x7","x8","x1",1.49252012679893,1.0067205632686,1.00386854357712
"P5",11,0.856215747025667,5.74312199440447,3.18519438749118,-974.301724240779,0.674451618931488,21,NA,"x8","x1","x9",1.28160747415056,1.08398512796657,0.991572270045992
"P6",11,0.88507430857645,4.6871466547576,2.99003323124799,-976.640088144546,0.783161426635437,11,NA,"x6","x12","x5",2.06611832879761,1.99735586376122,1.21289287647828
"P1",12,0.891278365144359,4.57811094487112,2.74915161941275,-968.364014526626,0.793132587221136,16,NA,"x9","x10","x6",1.46686034880392,1.0975269726085,1.0850311464727
"P2",12,0.8387707151632,6.57486649012221,3.44295769490245,-960.845592688988,0.573328795713942,13,NA,"x12","x13","x8",2.22741488717244,1.65941536003945,1.44188349077089
"P3",12,0.877225025372383,4.86213889855952,2.85450310479776,-973.982699028717,0.766668066692018,12,NA,"x10","x8","x1",1.11231460681017,1.02333565559429,1.00002703031385
"P4",12,0.900877652693872,4.3806207457442,2.77162413878681,-970.846799890009,0.810595292901614,13,NA,"x9","x11","x6",3.58027365665377,1.92050247184942,1.3169486274441
"P5",12,0.848528915063813,6.03805296637267,3.23081643888518,-965.474101119675,0.640156805501358,14,NA,"x6","x9","x10",1.90590246745335,1.01925939155299,1.01502683460892
"P6",12,0.887787991771221,4.65253859575228,2.82924462931774,-979.524521470314,0.786351707654484,12,NA,"x8","x6","x11",1.37905922271595,1.12386402274013,0.999999999999931
"P1",13,0.89510475892721,4.49157495537501,2.84318492615036,-965.340886928853,0.800879139706196,11,NA,"x13","x10","x11",2.13776993621288,1.81475005367735,1.46941927298808
"P2",13,0.833434127807724,6.53579248639825,3.45481139803656,-971.551242360776,0.57838508474455,12,NA,"x12","x9","x11",1.43648046758088,1.10805111477363,1.02827113535087
"P3",13,0.858922140833593,5.57820321326453,3.17851336021491,-974.483130636637,0.692879985353222,12,NA,"x12","x6","x11",2.02413104715232,1.87794896553246,1.30959473098453
"P4",13,0.824523648358945,6.60699843433478,3.53315960154363,-976.058739502366,0.56914824671392,13,NA,"x6","x1","x10",1.00000462999959,0.999999591300124,0.99998375319093
"P5",13,0.834772895297087,6.65741074212668,3.52725735684665,-962.983894520628,0.562548246549422,13,NA,"x9","x6","x1",2.33409096792152,1.6860218336473,1.48094982556528
"P6",13,0.814305087968988,7.52836339211654,3.66198492940487,-966.83714937332,0.440602391715209,13,NA,"x7","x1","x10",1.49612324609972,1.24809039481103,0.999999911930765
"P1",14,0.894568118525619,4.50142221506733,2.85782337794108,-965.889422763684,0.800005083612668,10,NA,"x11","x5","x10",1.917686251665,1.39173623992681,1.38269957029071
"P2",14,0.852323594930389,6.08863373133268,3.24357973713385,-969.606268151917,0.634102741507596,13,NA,"x10","x6","x11",1.46721204823949,1.0200103990496,1.00835201367792
"P3",14,0.828864385438124,6.96378587045389,3.63408485644109,-966.388645605136,0.521358584880907,12,NA,"x10","x12","x7",1.32214248792264,1.27184981562291,1.14897898230705
"P4",14,0.811992269735716,6.92321084148036,3.70354302969351,-971.701828173666,0.526920016837898,11,NA,"x10","x12","x13",1.55409289808858,1.19795984814074,1.09374891396894
"P5",14,0.846191947588879,5.99284260100968,3.3125176087792,-977.396707978967,0.64552533607222,20,NA,"x12","x1","x8",1.62150727185472,1.57930102529987,1.23040090488497
"P6",14,0.826162864446549,6.76826753336178,3.46056516867668,-971.73102995424,0.547858375065383,15,NA,"x10","x1","x8",1.31499270611863,1.13782744486774,1.11056687616562
"P1",15,0.898046991633006,4.43132120346614,2.77593887253307,-963.672068800015,0.80618565463788,12,NA,"x8","x9","x6",1.90687174927509,1.49676513049138,1.35428950553412
"P2",15,0.872436020323908,5.08174872518382,3.0244753538332,-971.192258265841,0.745114088775506,13,NA,"x6","x10","x1",2.32816190391205,1.28902775769394,1.23656883609724
"P3",15,0.895126073790094,4.49111304910103,2.84957619811093,-965.340886928853,0.800920092132138,11,NA,"x1","x11","x5",1.73250845506692,1.25960846261902,1.19176790158979
"P4",15,0.876914021699837,4.86850752334911,2.85931164098915,-979.128115031336,0.766056411295393,15,NA,"x9","x8","x5",2.06521927137667,1.09248380951014,1.06745605883792
"P5",15,0.890161072158916,4.59057007645127,2.9081716878531,-968.364014526626,0.792005093601111,10,NA,"x9","x11","x12",1.79727075704594,1.60190517778778,1.00209662328481
"P6",15,0.834194451166172,6.72911538029702,3.48254816602575,-977.142351732978,0.553074220047538,14,NA,"x11","x10","x6",1.38269624092682,1.23474206374136,1.00000000160512
"P1",16,0.836482571540552,6.68395436371777,3.37610239652066,-958.257383497866,0.559052983195862,13,NA,"x8","x10","x11",1.9954511545116,1.81032302843953,1.57050484821564
"P2",16,0.896994981827569,4.45102813675126,2.73855891562403,-965.422861581268,0.804457962515666,12,NA,"x6","troot(x6)","x8",1.10331176873428,1.00703408320109,1.00426670091794
"P3",16,0.835438458642242,6.54859045045988,3.4353024646547,-967.171355821276,0.576732310300065,12,NA,"x8","x9","x12",1.45046643570761,1.33633830651254,1.20322972280543
"P4",16,0.896380318933136,4.46676480368065,2.77141024308817,-969.360398141979,0.803072835518326,13,NA,"x13","x12","x6",1.94018992427322,1.57539209580649,1.18168295035318
"P5",16,0.807002508477565,7.43002558886448,3.71921343294343,-972.974270334354,0.455120993103782,13,NA,"x8","x13","x11",1.28683462432745,1.02615872865908,0.999999999997788
"P6",16,0.882228717915469,4.84348222292753,3.01881195520629,-971.90085941018,0.768455282723413,13,NA,"x5","x12","x6",3.17482389648622,1.69769756541365,1.27733018753898
"P1",17,0.883820476568718,4.82781818190202,2.96326791896739,-972.432150988107,0.769950513205345,13,NA,"x1","x10","x11",1.73767656812279,1.50754872912366,1.5036355899123
"P2",17,0.891615857303388,4.56070619248297,2.81140994514949,-969.586901369423,0.794702506393772,14,NA,"x11","x1","x13",1.46377629585089,1.00294453374774,1.00006061855156
"P3",17,0.899428314102501,4.40346407069815,2.76729151392276,-964.685987109831,0.808614790856855,14,NA,"x5","x12","x6",1.33668515344883,1.25961563777558,1.14148441971482
"P4",17,0.828731211740022,6.51964939753617,3.56190088706067,-974.995808186951,0.580465249194776,12,NA,"x11","x10","x13",1.39342375455784,1.29392784513103,1.25472386563899
"P5",17,0.888715046561623,4.81574492645705,3.01710732138819,-969.646363339931,0.771099675514109,11,NA,"x5","x11","x9",1.62205873326526,1.30543633359214,1.00214370199344
"P6",17,0.892657906811361,4.54325350038196,2.89549158265629,-978.426281547955,0.796270745249443,10,NA,"x1","x12","x9",1.01827929757834,1.00073110352032,0.999386795112179
"P1",18,0.854188525380782,5.73022128458074,3.21310278690102,-973.013727014757,0.675912527550332,14,NA,"x6","x10","x11",1.71736952972183,1.53730421902031,1.18463166131768
"P2",18,0.801066762319545,7.2943798255209,3.81411661809317,-971.098510850741,0.474834480396854,11,NA,"x10","x1","x6*x10",1.45554639306284,1.00000134608332,0.999999999999984
"P3",18,0.841027826209972,6.22888835747269,3.3219277877226,-960.941103372095,0.617051343116459,14,NA,"x7","x9","x8",1.71218608281853,1.65309707443415,1.6078254442684
"P4",18,0.81310744571937,7.05773064928957,3.61031384404884,-970.065939282543,0.508357275494388,13,NA,"x5","x10","x13",1.91409794991455,1.35243803499688,1.27580176182175
"P5",18,0.871986448741987,5.10372499989797,3.03146883933858,-976.166734099114,0.742904788407385,17,NA,"x12","x8","x11",1.50907313269903,1.47592823667768,1.32942225586463
"P6",18,0.831927653449552,6.5224038113117,3.44071391790868,-966.349050308293,0.580110685220897,11,NA,"x12","x1","x11",1.46391435371334,1.01474427307637,1.0091480885473
"P1",19,0.820171798477877,6.70491460415091,3.5735386539502,-967.066013916206,0.556283111782211,12,NA,"x12","x10","x9",1.82142841595495,1.31238721615871,1.28928915524156
"P2",19,0.813500383837195,7.4901143244796,3.68918638394296,-968.089832555853,0.446272171935588,13,NA,"x6","x10","x1",1.10257482713853,1.04762219750217,1.00263052347711
"P3",19,0.891926454187876,4.55556482821495,2.86586771583743,-967.476983094379,0.79516511643984,11,NA,"x11","x6","x10",2.36514287120191,1.81991734779831,1.69222759732562
"P4",19,0.8905770310139,4.59254110489596,2.87991844868353,-974.002819202334,0.791826443942341,11,NA,"x11","x8","x6",1.53835684223344,1.00704833528765,1.00688318340837
"P5",19,0.881927463524889,4.88881514140695,2.92070413572024,-972.17806086873,0.764100680337623,19,NA,"x6","x9","x13",1.36297087089688,1.2193745882446,1.20873644724475
"P6",19,0.895500881955558,4.48588378109944,2.8221749772874,-986.471541662954,0.801383423207157,18,NA,"x10","x12","x5",1.1436432665525,1.0481700698598,1.04023182198342
"P1",20,0.82998216240962,6.74648206939301,3.52930711012886,-967.299405698308,0.550764366126323,14,NA,"x8","x6","x1",1.45211220747265,1.05973056405721,1.04676330006217
"P2",20,0.892113749815266,4.55194941191141,2.86874395917328,-967.476983094379,0.795490112149556,11,NA,"x9","x6","x10",2.39992790633332,2.19990599265498,1.99994271422178
"P3",20,0.819585406654002,7.46702160664635,3.59613677133941,-966.216606450678,0.449681297099417,14,NA,"x13","x10","x1",2.56314231428248,1.68650782883811,1.61468555786925
"P4",20,0.803523222103875,7.39413921162143,3.75137179647177,-972.62787634999,0.460371718540424,11,NA,"x12","x10","x11",1.41196141852811,1.003504042446,1
"P5",20,0.896501176424433,4.4672343007374,2.78832085311794,-960.640343714735,0.803031435719054,12,NA,"x7","x9","p3(x6)",1.08016079631635,1.00000000065294,0.999999999667969
"P6",20,0.88453602358387,4.76474151873449,2.79186555032574,-976.862998980771,0.775922552795664,17,NA,"x9","x1","x5",1.2888354960675,1.23933917775354,1.16052543230791
"P1",21,0.895851264673405,4.4729006295552,2.82421886380474,-959.981630295945,0.802531441131207,13,NA,"x9","x1","x13",1.6097382127484,1.49025399721114,1.38309159246807
"P2",21,0.891553624023739,4.56178453535848,2.86237794078165,-973.892921350965,0.794605412982292,11,NA,"x11","x10","x9",2.08969973480743,1.65932848894407,1.4086292269889
"P3",21,0.894905534858844,4.49553023529402,2.85547324513607,-965.340886928853,0.80052829372507,11,NA,"x5","x13","x10",1.69405045022422,1.44785395528794,1.38907773313715
"P4",21,0.885394190014457,4.67904875970097,2.84317698654728,-971.869802401751,0.783910035241808,10,NA,"x7","x13","x1",1.96387136214165,1.77526807416136,1.46079519009031
"P5",21,0.881585427005478,4.79927538829759,2.86086486153359,-973.832779844088,0.772662647103404,16,NA,"x1","x8","x5",1.43868307271686,1.21123068557088,1.1588914164345
"P6",21,0.900243376568163,4.38539424320606,2.6941893363548,-962.515275552847,0.810182284998965,11,NA,"x8","x10","x1",1.5674918711442,1.26986865570146,1.21709999718719
"P1",22,0.83673720813644,6.68116798953627,3.38299472269648,-958.257383497866,0.559420546234376,13,NA,"x1","x10","x11",1.45030446078483,1.29129157083174,1.28470911244833
"P2",22,0.879000433268268,4.99761592532808,2.99047952073495,-965.340886928853,0.753483944197382,17,NA,"x5","x6","x8",1.4432818460965,1.25809041238751,1.05496137026925
"P3",22,0.869976717032706,5.13392356129053,3.03191639730851,-971.056797768319,0.739853340725857,16,NA,"x9","x1","x8",1.37206667084985,1.31354017608457,1.27279946086428
"P4",22,0.892524338312158,4.54585453835945,2.8188536532214,-968.222778373599,0.796037406204551,11,NA,"x13","x11","x8",1.37030494795625,1.36887220747774,0.999993867603287
"P5",22,0.911951132354337,4.13012138940961,2.84909060648682,-979.88344681587,0.8316376072025,9,NA,"x1","x7","x11",1.56038369858973,1.43487057665215,1.23485424022889
"P6",22,0.862248763119516,5.47101438099323,3.12688951892521,-978.21193172806,0.704569608831006,12,NA,"x6","x12","x8",1.30431324548103,1.01316027035663,1.01315302340453
"P1",23,0.876083054011867,5.01039907742992,2.94799607571193,-966.087307256161,0.752221229135102,13,NA,"x9","x1","x8",2.88967667339097,2.20865793375568,1.85770630141428
"P2",23,0.819368432115286,6.90447339636131,3.57420211730137,-967.252238216334,0.529477302739011,11,NA,"x6","x7","x1",1.40615082515215,1.37830082791572,1.14639962775504
"P3",23,0.893160944024675,4.54573942682728,2.87873966304756,-968.914696065983,0.796047735681315,12,NA,"x1","x8","x11",1.63984363186921,1.30391185430393,1.25585020798846
"P4",23,0.830322222215602,6.53096853546709,3.50152135607186,-970.116975364227,0.579007227841453,11,NA,"x10","x7","x1",1.61388311543764,1.29863552527135,0.999997431390121
"P5",23,0.894896390147814,4.49578246962475,2.85114887821072,-965.340886928853,0.800505909258192,11,NA,"x13","x8","x1",1.70108867852481,1.35297890852254,1.34141573133549
"P6",23,0.821428640336679,7.15427784815369,3.47876522365965,-970.088498786478,0.494814284385779,13,NA,"x9","x1","x5",1.47825385046383,1.46127316195065,1.44200959770516
"P1",24,0.895099764285703,4.50036150156412,2.76193472758346,-970.714709859505,0.800099325967316,16,NA,"x1","x9","x12",1.20793655149636,1.17297740242469,1.10079118629946
"P2",24,0.856177044524302,5.91430086665392,3.21365465540522,-962.283498855079,0.654755885035085,14,NA,"x10","x6","x13",1.70861035188152,1.51198916567253,1.50270702707351
"P3",24,0.897695912009032,4.4478540697407,2.87526731349666,-976.647772837865,0.804736748544872,15,NA,"x11","x6","x8",1.63728148182565,1.40338193576489,1.29434979749757
"P4",24,0.837600163415863,6.33982477830272,3.3971495616681,-966.810027857911,0.6032892522519,12,NA,"x8","x10","x11",1.99764306855663,1.61231573738637,1.33673319382879
"P5",24,0.885486908434963,4.69202354166629,3.06356272209143,-978.443700748198,0.78270995906656,13,NA,"x11","x1","x9",1.40983031040315,1.087714766913,1.04603024492745
"P6",24,0.844473344882242,6.18483410120677,3.37357477830215,-967.218920839473,0.622449050807349,14,NA,"x6","x1","x13",1.52385238849122,1.34705932473143,1.18765741870584
"P1",25,0.872862896571075,5.11200996597102,3.01107685534828,-974.825231641977,0.742069416611633,12,NA,"x12","x1","x11",2.139425177959,1.3116222752155,1.29222150139014
"P2",25,0.810574100229104,7.15335235407704,3.56836503508627,-969.721121603523,0.494944979937695,12,NA,"x8","x12","x13",1.85462364699314,1.6058633947668,1.29751882833957
"P3",25,0.89492718426135,4.49500450217331,2.84273620962464,-965.340886928853,0.800574945730578,12,NA,"x10","x8","x1",2.33379743181164,1.75056315618467,1.49700119068947
"P4",25,0.896887323612059,4.45284494682577,2.73005867668195,-971.998579625159,0.804298298169395,21,NA,"x1","x10","x8",1.33075372781212,1.3029522382158,0.98495668522705
"P5",25,0.874329432006153,5.02958582832154,2.97817617540547,-973.28216694163,0.750319914664003,12,NA,"x1","x7","x12",2.00387693519992,1.35246761786635,1.17542511414026
"P6",25,0.891785102761258,4.5584569744137,2.91523393772138,-975.551476006641,0.794904950905288,11,NA,"x1","x10","x6",1.32846097668001,0.999999690385786,0.999999667378914
"P1",26,0.888437256663178,4.66734249083891,2.8056058665484,-963.074098667984,0.784989931181854,14,NA,"x1","x9","x8",1.95979317241705,1.59616723935582,1.47289757798438
"P2",26,0.825433451041326,6.86396673724851,3.54989926727509,-967.206330278868,0.534981964297244,11,NA,"x13","x6","x9",2.31093583388117,1.4658444416288,1.45383953871013
"P3",26,0.89488736094194,4.49591839204171,2.85482980811457,-965.340886928853,0.80049384633964,11,NA,"x6","x5","x13",1.26581619459335,1.18201899568871,1.15358233569402
"P4",26,0.884655244357415,4.69832064589554,2.79858713901841,-969.75377556946,0.782126323366038,16,NA,"x11","x1","x8",1.42862050033265,1.12613949451146,1.05167104959147
"P5",26,0.819169677390108,6.85964214032279,3.60429566695272,-972.099588892074,0.535567742792688,11,NA,"x9","x1","x8",1.00006371389784,1.00005172324237,1.00002293546223
"P6",26,0.835465813808571,6.25550022438596,3.37902799676987,-969.268643213812,0.613772187120155,17,NA,"x5","x6","x8",1.04408400958375,1.01882902860933,1.00810693182486
"P1",27,0.87393688081407,5.11416395370463,2.94162412306634,-970.016329897576,0.741852008443256,13,NA,"x13","x11","x10",1.66322955051109,1.35998155787481,1.33366529631396
"P2",27,0.886137229126258,4.7111933265065,2.92750628831011,-972.282448059362,0.780930806679447,11,NA,"x11","x9","x6",1.71991351878447,1.60367746846297,1.51530617291093
"P3",27,0.883171063474769,4.79415490695684,2.91004094187448,-965.382453492079,0.773147493496423,13,NA,"x9","x6","x1",2.03902290164778,1.70494077479375,1.31888628019971
"P4",27,0.826024511580327,6.60469884850336,3.54764842310332,-969.796697201141,0.569448113037501,12,NA,"x11","x1","x8",1.34582689235249,1.34266242560515,1.09745834218931
"P5",27,0.858800771239563,5.42590423825458,3.14715686447219,-971.348339579158,0.709421347112756,18,NA,"x9","x5","x10",1.25346317319158,1.14747190298558,1.12188261667184
"P6",27,0.896797665709993,4.45749706203057,2.87436074498982,-972.807753008652,0.803889165375257,10,NA,"x8","x9","x11",1.45873727612188,1.22940648417952,1.00001829762014
"P1",28,0.890669533672945,4.61442306638766,2.87945200298573,-974.212157742655,0.789837959674673,12,NA,"x6","x11","x10",2.36532670927113,1.61482620734406,1.5647861941473
